id,name
2935409,Oxford Tutorial College LTD.
3935677,Frog Education Limited
3282374,Franklin Covey Europe Limited
3449676,RZIM Zacharias Trust
3699291,Retail Human Resources PLC
3999577,Rada In Business Limited
5014794,Senscient Limited
1014770,Garlock (Great Britain) Limited
3618515,Glanet Limited
1851035,Petrolvalves (G.B.) Limited
4006353,Eos Inc. Ltd
3066370,Colyer Group Limited
4187920,Lofbergs Limited
3249066,Enterprise Ventures Limited
3695177,Ashbridge School Limited
775216,WGC Seeds Limited
1186165,Thurlow Educational Trust
2587961,K.E.S. Power and Light Limited
5109650,Snazaroo Holdings Limited
5159125,Ashdown Medway Accommodation Trust
1536398,Gatehouse Educational Trust Limited(The)
2942840,The Bromley BY Bow Centre
3737706,Redbridge PPP Health Services Limited
3135724,Wallington Cars & Couriers Limited
4617238,BHSF Occupational Health Limited
2109235,Bidwells Holdings Ltd
3861455,"St George's School, Edgbaston"
4077709,Tam Asset Management Ltd
4092438,State Street Administration Services (UK) Limited
1307059,Sumitomo Electric Hardmetal Limited
2126691,Site Masters PLC
2296415,Enterprise Control Systems Limited
2484420,J.E. Evans-Jackson & Co. Limited
2553654,Business In Focus Limited
2711779,Ip Equipment Sales LTD.
1143260,Hytork International Ltd
9303764,Derwent London Angel Square Limited
7107947,West Sussex Estates Partnership Limited
1832064,International Association of Oil & Gas Producers
2015901,Polymeric Labels Limited
2120126,Gullane (Productions) Limited
3520712,Pentagon Sport Limited
3875520,SDL Tridion Limited
4232995,Personal Management Solutions Limited
4561260,W.B. Simpson & Sons (Midlands) Ltd
1638003,Winterbottom's Schoolwear Limited
7807248,Berwick Academy
5193765,Secured Contracts Limited
6706878,Collinson Technology Services Limited
10858171,Trademark (Red Joan) Limited
6260621,Brightpearl Limited
1197026,London Film School Limited
5649412,Om International Services (Carlisle) Ltd
628763,Osprey Limited
1700565,Congress Team International (UK) Limited
2083043,Shore Capital and Corporate Limited
3709575,Grainger Maidenhead Limited
1479261,Shepherds Scrap Metals (Newcastle) Limited
5961469,XN Leisure Systems Limited
5808829,Foamtech Limited
5966781,Zoom UK Distribution Ltd
1516137,Trace Financial Limited
1899218,Derwent Developments Limited
4285691,Windle Trust International
5619726,UK Wood Recycling Limited
5818994,Alba 2006-2 PLC
2200394,Touchstone - Leeds
5319775,Ernst & Young Services (UK) Limited
5027542,Sanne Trustee Company UK Limited
5159542,TMF Corporate Secretarial Services Limited
5322144,Zipton Shipping (UK) Limited
5150663,Reflex Hr Limited
6209056,Leading Edge Group (UK) Limited
2981535,Bondminster Limited
5674906,Mammoth Productions Limited
8190591,The Complementary Education Academy Limited
707744,Wilkes Vending Services Limited
3312947,Application Services Limited
9150697,Nats Solutions Limited
7672448,Gresham Receivables (No. 30) UK Limited
6911198,Delphi Electronics Overseas Company Ltd
9819468,Celeritifintech Services UK Limited
10634307,Ribbon Edinburgh Limited
6398012,CWG (Wood Wharf Four) Limited
6448766,De Vere Wokefield Property Limited
859590,Relyon Group Limited
2429702,Rowlinson Packaging (South) Limited
3445616,Northwick Park Institute For Medical Research
571803,Bute House Preparatory School For Girls Limited
6112716,University Centre Peterborough
2455943,Bridge Management Training Limited
2877400,British Pharmacological Society
5760570,Tottenham Hotspur Foundation
7289496,Php Healthcare Investments Limited
1369845,Creasefield Limited
9542043,Uml Hinde Limited
7962181,Centre For Effective Altruism
7441463,Lancaster Girls' Grammar School
9512859,Green Energy Geothermal International Limited
9689041,Seacare Hospitality (UK) Limited
9707778,Uml Portman Limited
10081148,Elm Capital Holding Limited
6770610,Bookingbug Limited
7956221,Rbl Aviation Limited
8025834,Mister Smith Entertainment Limited
9423071,R&W Environmental Ltd
6601300,Georgie Smedley Limited
7430903,The Legatum Institute Foundation
7898747,Mermaid Maritime Limited
9850654,Ps Energy UK Limited
8267470,Darrington Healthcare Ltd
6300768,The David Ross Foundation
6838726,Zandera Ltd
9664578,Store First St Helens Limited
6733007,Skins Services Limited
6307726,Royal Mail Courier Services Ltd
9269358,Modus Underwriting Limited
8007072,United First Management Limited
9740413,Kag Holdco Limited
7286694,Jeave 2 Limited
7381409,Catena Media UK Limited
6386353,Glennmont Partners I Limited
8624248,Riegens UK Ltd
7050833,Greenwich BSF Spv Limited
6207067,Spires Academy
7330058,Caistor Grammar School
7816723,Veolia Es Field Services Limited
9880809,Sundance Acquisitions Topco Limited
6316349,LS Poole Retail Limited
7090729,Consumables Corporate Group Limited
7140521,Mac Contracting Nottingham Limited
8175428,Stephenson Rocket Limited
9136445,London LGPS Civ Limited
10247702,Norrbro Gas UK Limited
7873187,SW Hospitality Europe Limited
7992842,The Henrietta Barnett School
6275169,Chameleon Specialty Chemicals Ltd
7068849,Mib Management Services Limited
7139170,Lt Pub Support Services Limited
9379555,Shaftesbury Av Investment Limited
9202445,Inspire Learning Partnership
6348255,Arrow Value Recovery UK Ltd
8484258,Spring Mews (Student) Limited
8840012,Seko Logistics (North) Limited
8272256,Woodside Academy
8218856,Multiconsult UK Ltd
8229133,Evolution Wealth Network Limited
8156955,An Daras Multi Academy Trust
9278255,Banking Standards Board
7907411,The Ernest Cook Trust
6999618,DueDil Limited
8059326,HC QS Limited
8412572,Buildstore Limited
7390289,Niab Trading Ltd
7681811,Robus Multi Academy Trust
7050533,Jamberoo Limited
7838126,Henbury School
8590005,Trading 212 UK Limited
6931664,KW Investment Management Limited
6627075,Golden Years Ltd
7070731,Willinbrook Healthcare Limited
7531926,Octopus Property Lending Limited
7514466,Booh Media PLC
8389777,Castellum London (UK) Limited
8106388,Saint Dominic's Catholic Academy Trust
6839574,Kendal Fish & Seafoods Limited
10245189,Endeavour Partnership Trust
3148183,Pinders Professional and Consultancy Services Limited
7111211,Ellison Wire Products Limited
6641089,Cu Services Limited
8360810,Sellers Containers Limited
9437412,Phenomen Trust
8133565,Altum Capital Management (UK) Limited
8466580,Northern Shared Services Limited
9913731,Ccl Secure (Commercial) Limited
10241523,Hey Bidco Limited
10646689,Rural Church Schools Academy Trust
